[Timus 1082] Gaby Ivanushka,http://acm.timus.ru/problem.aspx?space=1&num=1082,,,,,,,
[LOJ 1042] Secret Origins,http://www.lightoj.com/volume_showproblem.php?problem=1042,,,,,,,
[LOJ 1189] Sum of Factorials,http://lightoj.com/volume_showproblem.php?problem=1189,,,,,,,
[Timus 1149] Sinus Dances,http://acm.timus.ru/problem.aspx?space=1&num=1149,,,,,,,
[UVa 272] Tex Quotes,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=208,,,,,,,
[UVa 394] Mapmaker,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=330,,,,,,,
[UVa 483] Word Scramble,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=424,,,,,,,
[UVa 573] The Snail,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=514,,,,,,,
[UVa 661] Blowing Fuses,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=602,,,,,,,
[UVa 739] Soundex Indexing,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=680,,,,,,,
[UVa 837] Light and Transparencies,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=778,,,,,,,
[UVa 941] Permutations,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=882,,,,,,,
[UVa 10082] WERTYU,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&phttps://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1023age=show_problem&problem=1023,,,,,,,
[UVa 10141] Request for Proposal,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1082,,,,,,,
[UVa 10281] Average Speed,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1222,,,,,,,
[UVa 10363] Tic Tac Toe,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1304,,,,,,,
[UVa 10420] List of Conquests,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1361,,,,,,,
[UVa 10528] Major Scales,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1469,,,,,,,
